Date,Stock,Price
2014-11-05,AAPL,108.860001
2014-11-05,AMZN,296.519989
2014-11-05,FB,74.83000200000002
2014-11-05,MSFT,47.860001
2014-11-05,GOOGL,555.950012
2014-11-06,FB,75.260002
2014-11-06,GOOGL,551.6900019999998
2014-11-06,AMZN,296.640015
2014-11-06,AAPL,108.699997
2014-11-06,MSFT,48.700001
2014-11-07,MSFT,48.68
2014-11-07,AAPL,109.010002
2014-11-07,AMZN,299.859985
2014-11-07,GOOGL,551.820007
2014-11-07,FB,75.599998
2014-11-10,FB,75.0
2014-11-10,MSFT,48.889999
2014-11-10,AMZN,305.109985
2014-11-10,AAPL,108.830002
2014-11-10,GOOGL,558.22998
2014-11-11,GOOGL,561.289978
2014-11-11,AAPL,109.699997
2014-11-11,FB,74.610001
2014-11-11,MSFT,48.869999
2014-11-11,AMZN,312.01001
2014-11-12,GOOGL,558.25
2014-11-12,MSFT,48.779999
2014-11-12,AMZN,311.51001
2014-11-12,FB,74.720001
2014-11-12,AAPL,111.25
2014-11-13,GOOGL,556.4400019999998
2014-11-13,MSFT,49.610001
2014-11-13,FB,74.25
2014-11-13,AMZN,316.480011
2014-11-13,AAPL,112.82
2014-11-14,AMZN,327.820007
2014-11-14,GOOGL,555.1900019999998
2014-11-14,MSFT,49.580002
2014-11-14,AAPL,114.18
2014-11-14,FB,74.879997
2014-11-17,GOOGL,546.6400150000002
2014-11-17,AMZN,323.049988
2014-11-17,MSFT,49.459999
2014-11-17,AAPL,113.989998
2014-11-17,FB,74.239998
2014-11-18,FB,74.339996
2014-11-18,GOOGL,544.51001
2014-11-18,AAPL,115.470001
2014-11-18,AMZN,324.929993
2014-11-18,MSFT,48.740002
2014-11-19,AMZN,326.540009
2014-11-19,MSFT,48.220001
2014-11-19,GOOGL,547.200012
2014-11-19,FB,73.33000200000002
2014-11-19,AAPL,114.669998
2014-11-20,FB,73.599998
2014-11-20,MSFT,48.700001
2014-11-20,AAPL,116.309998
2014-11-20,GOOGL,543.76001
2014-11-20,AMZN,330.540009
2014-11-21,AAPL,116.470001
2014-11-21,FB,73.75
2014-11-21,GOOGL,545.8900150000002
2014-11-21,AMZN,332.630005
2014-11-21,MSFT,47.98
2014-11-24,AAPL,118.629997
2014-11-24,GOOGL,547.47998
2014-11-24,FB,74.010002
2014-11-24,MSFT,47.59
2014-11-24,AMZN,335.640015
2014-11-25,AMZN,335.040009
2014-11-25,MSFT,47.470001
2014-11-25,AAPL,117.599998
2014-11-25,GOOGL,549.22998
2014-11-25,FB,75.629997
2014-11-26,AMZN,333.570007
2014-11-26,MSFT,47.75
2014-11-26,AAPL,119.0
2014-11-26,FB,77.620003
2014-11-26,GOOGL,547.72998
2014-11-28,AMZN,338.640015
2014-11-28,MSFT,47.810001
2014-11-28,FB,77.699997
