Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,1stFlrSF,2ndFlrSF,GrLivArea.1,FullBath,HalfBath,GarageCars,SalePrice
1,60,8450,7,5,2003,1710,856,854,1710,2,1,2,208500
2,20,9600,6,8,1976,1262,1262,0,1262,2,0,2,181500
3,60,11250,7,5,2001,1786,920,866,1786,2,1,2,223500
4,70,9550,7,5,1915,1717,961,756,1717,1,0,3,140000
5,60,14260,8,5,2000,2198,1145,1053,2198,2,1,3,250000
6,50,14115,5,5,1993,1362,796,566,1362,1,1,2,143000
7,20,10084,8,5,2004,1694,1694,0,1694,2,0,2,307000
8,60,10382,7,6,1973,2090,1107,983,2090,2,1,2,200000
9,50,6120,7,5,1931,1774,1022,752,1774,2,0,2,129900
10,190,7420,5,6,1939,1077,1077,0,1077,1,0,1,118000
11,20,11200,5,5,1965,1040,1040,0,1040,1,0,1,129500
12,60,11924,9,5,2005,2324,1182,1142,2324,3,0,3,345000
13,20,12968,5,6,1962,912,912,0,912,1,0,1,144000
14,20,10652,7,5,2006,1494,1494,0,1494,2,0,3,279500
15,20,10920,6,5,1960,1253,1253,0,1253,1,1,1,157000
16,45,6120,7,8,1929,854,854,0,854,1,0,2,132000
17,20,11241,6,7,1970,1004,1004,0,1004,1,0,2,149000
18,90,10791,4,5,1967,1296,1296,0,1296,2,0,2,90000
19,20,13695,5,5,2004,1114,1114,0,1114,1,1,2,159000
20,20,7560,5,6,1958,1339,1339,0,1339,1,0,1,139000
21,60,14215,8,5,2005,2376,1158,1218,2376,3,1,3,325300
22,45,7449,7,7,1930,1108,1108,0,1108,1,0,1,139400
23,20,9742,8,5,2002,1795,1795,0,1795,2,0,2,230000
24,120,4224,5,7,1976,1060,1060,0,1060,1,0,2,129900
25,20,8246,5,8,1968,1060,1060,0,1060,1,0,1,154000
26,20,14230,8,5,2007,1600,1600,0,1600,2,0,3,256300
27,20,7200,5,7,1951,900,900,0,900,1,0,2,134800
28,20,11478,8,5,2007,1704,1704,0,1704,2,0,3,306000
29,20,16321,5,6,1957,1600,1600,0,1600,1,0,1,207500
30,30,6324,4,6,1927,520,520,0,520,1,0,1,68500
31,70,8500,4,4,1920,1317,649,668,1317,1,0,1,40000
32,20,8544,5,6,1966,1228,1228,0,1228,1,1,1,149350
33,20,11049,8,5,2007,1234,1234,0,1234,2,0,2,179900
34,20,10552,5,5,1959,1700,1700,0,1700,1,1,2,165500
35,120,7313,9,5,2005,1561,1561,0,1561,2,0,2,277500
36,60,13418,8,5,2004,2452,1132,1320,2452,3,1,3,309000
37,20,10859,5,5,1994,1097,1097,0,1097,1,1,2,145000
38,20,8532,5,6,1954,1297,1297,0,1297,1,0,2,153000
39,20,7922,5,7,1953,1057,1057,0,1057,1,0,1,109000
40,90,6040,4,5,1955,1152,1152,0,1152,2,0,0,82000
41,20,8658,6,5,1965,1324,1324,0,1324,2,0,2,160000
42,20,16905,5,6,1959,1328,1328,0,1328,1,1,1,170000
43,85,9180,5,7,1983,884,884,0,884,1,0,2,144000
44,20,9200,5,6,1975,938,938,0,938,1,0,1,130250
45,20,7945,5,6,1959,1150,1150,0,1150,1,0,1,141000
46,120,7658,9,5,2005,1752,1752,0,1752,2,0,2,319900
47,50,12822,7,5,2003,2149,1518,631,2149,1,1,2,239686
48,20,11096,8,5,2006,1656,1656,0,1656,2,0,3,249700
49,190,4456,4,5,1920,1452,736,716,1452,2,0,0,113000
50,20,7742,5,7,1966,955,955,0,955,1,0,1,127000
51,60,13869,6,6,1997,1470,794,676,1470,2,0,2,177000
52,50,6240,6,6,1934,1176,816,0,1176,1,0,2,114500
53,90,8472,5,5,1963,816,816,0,816,1,0,2,110000
54,20,50271,9,5,1981,1842,1842,0,1842,0,1,3,385000
55,80,7134,5,5,1955,1360,1360,0,1360,1,0,2,130000
56,20,10175,6,5,1964,1425,1425,0,1425,2,0,2,180500
57,160,2645,8,5,1999,1739,983,756,1739,2,1,2,172500
58,60,11645,7,5,2004,1720,860,860,1720,2,1,2,196500
59,60,13682,10,5,2006,2945,1426,1519,2945,3,1,3,438780
60,20,7200,5,7,1972,780,780,0,780,1,0,1,124900
61,20,13072,6,5,2004,1158,1158,0,1158,1,1,2,158000
62,75,7200,5,7,1920,1111,581,530,1111,1,0,1,101000
63,120,6442,8,5,2006,1370,1370,0,1370,2,0,2,202500
64,70,10300,7,6,1921,1710,902,808,1710,2,0,2,140000
65,60,9375,7,5,1997,2034,1057,977,2034,2,1,2,219500
66,60,9591,8,5,2004,2473,1143,1330,2473,2,1,3,317000
67,20,19900,7,5,1970,2207,2207,0,2207,2,0,2,180000
68,20,10665,7,5,2003,1479,1479,0,1479,2,0,2,226000
69,30,4608,4,6,1945,747,747,0,747,1,0,1,80000
70,50,15593,7,4,1953,2287,1304,983,2287,2,0,2,225000
71,20,13651,7,6,1973,2223,2223,0,2223,2,0,2,244000
72,20,7599,4,6,1982,845,845,0,845,1,0,2,129500
73,60,10141,7,5,1998,1718,885,833,1718,2,1,2,185000
74,20,10200,5,7,1954,1086,1086,0,1086,1,0,2,144900
75,50,5790,3,6,1915,1605,840,765,1605,2,0,1,107400
76,180,1596,4,5,1973,988,526,462,988,1,0,1,91000
77,20,8475,4,7,1956,952,952,0,952,1,0,1,135750
78,50,8635,5,5,1948,1285,1072,213,1285,1,0,1,127000
79,90,10778,4,5,1968,1768,1768,0,1768,2,0,0,136500
80,50,10440,5,6,1910,1230,682,548,1230,1,1,2,110000
81,60,13000,6,6,1968,2142,1182,960,2142,2,1,1,193500
82,120,4500,6,5,1998,1337,1337,0,1337,2,0,2,153500
83,20,10206,8,5,2007,1563,1563,0,1563,2,0,3,245000
84,20,8892,5,5,1960,1065,1065,0,1065,1,1,2,126500
85,80,8530,7,5,1995,1474,804,670,1474,2,1,2,168500
86,60,16059,8,5,1991,2417,1301,1116,2417,2,1,2,260000
87,60,11911,6,5,2005,1560,684,876,1560,2,1,2,174000
88,160,3951,6,5,2009,1224,612,612,1224,2,1,2,164500
89,50,8470,3,2,1915,1526,1013,0,1526,1,0,0,85000
90,20,8070,4,5,1994,990,990,0,990,1,0,0,123600
91,20,7200,4,5,1950,1040,1040,0,1040,1,0,2,109900
92,20,8500,5,3,1961,1235,1235,0,1235,1,0,2,98600
93,30,13360,5,7,1921,964,964,0,964,1,0,2,163500
94,190,7200,6,6,1910,2291,1260,1031,2291,2,0,2,133900
95,60,9337,6,5,1997,1786,905,881,1786,2,1,2,204750
96,60,9765,6,8,1993,1470,680,790,1470,2,1,2,185000
97,20,10264,7,5,1999,1588,1588,0,1588,2,0,2,214000
98,20,10921,4,5,1965,960,960,0,960,1,0,1,94750
99,30,10625,5,5,1920,835,835,0,835,1,0,1,83000
100,20,9320,4,5,1959,1225,1225,0,1225,1,1,0,128950
101,20,10603,6,7,1977,1610,1610,0,1610,2,0,2,205000
102,60,9206,6,5,1985,1732,977,755,1732,2,1,2,178000
103,90,7018,5,5,1979,1535,1535,0,1535,2,0,2,118964
104,20,10402,7,5,2009,1226,1226,0,1226,2,0,3,198900
105,50,7758,7,4,1931,1818,1226,592,1818,1,1,1,169500
106,60,9375,8,5,2003,1992,1053,939,1992,2,1,2,250000
107,30,10800,4,7,1885,1047,1047,0,1047,1,0,1,100000
108,20,6000,5,5,1948,789,789,0,789,1,0,1,115000
109,50,8500,5,7,1919,1517,997,520,1517,2,0,0,115000
110,20,11751,6,6,1977,1844,1844,0,1844,2,0,2,190000
111,50,9525,6,4,1954,1855,1216,639,1855,2,0,1,136900
112,80,7750,7,5,2000,1430,774,656,1430,2,1,2,180000
113,60,9965,7,5,2007,2696,1282,1414,2696,2,1,3,383970
114,20,21000,6,5,1953,2259,2259,0,2259,2,0,2,217000
115,70,7259,6,8,1945,2320,1436,884,2320,2,1,1,259500
116,160,3230,6,5,1999,1458,729,729,1458,2,1,2,176000
117,20,11616,5,5,1962,1092,1092,0,1092,1,0,1,139000
118,20,8536,5,5,2006,1125,1125,0,1125,1,1,2,155000
119,60,12376,7,5,1990,3222,1699,1523,3222,3,0,3,320000
120,60,8461,6,5,2005,1456,728,728,1456,2,1,2,163990
121,80,21453,6,5,1969,988,988,0,988,1,0,2,180000
122,50,6060,4,5,1939,1123,772,351,1123,1,0,1,100000
123,20,9464,6,7,1958,1080,1080,0,1080,1,0,1,136000
124,120,7892,6,5,1993,1199,1199,0,1199,2,0,2,153900
125,20,17043,6,5,1979,1586,1586,0,1586,2,0,2,181000
126,190,6780,6,8,1935,754,520,0,754,1,0,0,84500
127,120,4928,6,5,1976,958,958,0,958,2,0,2,128000
128,45,4388,5,7,1930,840,840,0,840,1,0,0,87000
129,60,7590,6,5,1966,1348,660,688,1348,1,1,2,155000
130,20,8973,5,7,1958,1053,1053,0,1053,1,1,2,150000
131,60,14200,7,6,1966,2157,1216,941,2157,2,1,2,226000
132,60,12224,6,5,2000,2054,1022,1032,2054,2,1,2,244000
133,20,7388,5,6,1959,1327,1327,0,1327,1,0,2,150750
134,20,6853,8,5,2001,1296,1296,0,1296,2,0,2,220000
135,20,10335,5,6,1968,1721,1721,0,1721,2,1,2,180000
136,20,10400,7,6,1970,1682,1682,0,1682,2,0,2,174000
137,20,10355,5,5,1967,1214,1214,0,1214,2,0,1,143000
138,90,11070,7,5,1988,1959,1959,0,1959,3,0,3,171000
139,60,9066,8,5,1999,1852,1004,848,1852,2,1,3,230000
140,60,15426,6,5,1997,1764,928,836,1764,2,1,2,231500
141,20,10500,4,5,1971,864,864,0,864,1,0,0,115000
142,20,11645,7,5,2005,1734,1734,0,1734,2,0,2,260000
143,50,8520,5,4,1952,1385,910,475,1385,2,0,2,166000
144,20,10335,7,5,1999,1501,1501,0,1501,2,0,2,204000
145,90,9100,5,5,1963,1728,1728,0,1728,2,0,2,125000
146,160,2522,6,5,2004,1709,970,739,1709,2,0,2,130000
147,30,6120,5,7,1931,875,875,0,875,1,0,1,105000
148,60,9505,7,5,2001,2035,884,1151,2035,2,1,2,222500
149,20,7500,7,5,2004,1080,1080,0,1080,1,0,0,141000
150,50,6240,5,4,1936,1344,896,448,1344,1,0,1,115000
151,20,10356,5,6,1975,969,969,0,969,1,1,2,122000
152,20,13891,8,5,2007,1710,1710,0,1710,2,0,3,372402
153,60,14803,6,5,1971,1993,1097,896,1993,2,1,2,190000
