Username,Text
_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
mattycus,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
ElleCTF,my whole body feels itchy and like its on fire 
Karoli,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
joy_wolf,@Kwesidei not the whole crew 
mybirch,Need a hug 
coZZ,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
2Hood4Hollywood,@Tatiana_K nope they didn't have it 
mimismo,@twittera que me muera ? 
erinx3leannexo,spring break in plain city... it's snowing 
pardonlauren,I just re-pierced my ears 
TLeC,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
robrobbierobert,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
bayofwolves,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
HairByJess,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
lovesongwriter,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
armotley,about to file taxes 
starkissed,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
gi_gi_bee,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
quanvu,@alydesigns i was out most of the day so didn't get much done 
swinspeedx,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* "
cooliodoc,@angry_barista I baked you a cake but I ated it 
viJILLante,this week is not going as i had hoped 
Ljelli3166,blagh class at 8 tomorrow 
ChicagoCubbie,I hate when I have to call and wake people up 
KatieAngell,Just going to cry myself to sleep after watching Marley and Me.  
gagoo,im sad now  Miss.Lilly
abel209,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again 
BaptisteTheFool,Meh... Almost Lover is the exception... this track gets me depressed every time. 
fatkat309,some1 hacked my account on aim  now i have to make a new one
EmCDL,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
merisssa,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
Pbearfox,@julieebaby awe i love you too!!!! 1 am here  i miss you
jsoo,@HumpNinja I cry my asian eyes to sleep at night 
scarletletterm,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
crosland_12,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
ajaxpro,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
Tmttq86,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
Anthony_Nguyen,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
itsanimesh,really don't feel like getting up today... but got to study to for tomorrows practical exam... 
lionslamb,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
kennypham,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!"
DdubsShellBell,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it 
hpfangirl94,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.
antzpantz,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... 
labrt2004,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?"
IrisJumbe,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
peacoats,is strangely sad about LiLo and SamRo breaking up. 
cyantist,@tea oh! i'm so sorry  i didn't think about that before retweeting.
tautao,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
voyage2k,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. "
crzy_cdn_bulas,our duck and chicken are taking wayyy too long to hatch 
justnetgirl,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. "
CiaraRenee,I need a hug 
deelau,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "
Lindsey0920,@oanhLove I hate when that happens... 
HybridMink,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm"
gzacher,Ugh....92 degrees tomorrow 
Jenn_L,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
xVivaLaJuicyx,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"
krbleyle,just leaving the parking lot of work! 
xpika,The Life is cool. But not for Me. 
Henkuyinepu,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. "
ericg622,I had such a nice day. Too bad the rain comes in tomorrow at 5am 
adri_mane,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
a_mariepyt,Damm back to school tomorrow 
playboybacon,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?"
leslierosales,@katortiz  Not forever... See you soon!
PresidentSnow,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. "
michrod,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
timmelko,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!
BrookeAmanda,i really hate how people diss my bands!  Trace is clearly NOT ugly!
deelau,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls."
paulseverio,Why won't you show my location?!   http://twitpic.com/2y2es
iv3tte,No picnic  my phone smells like citrus.
fedunska,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. "
MagicalMason,No new csi tonight.  FML
kaelaaa,i think my arms are sore from tennis 
emo_holic,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . 
thelazyboy,sleep soon... i just hate saying bye and see you tomorrow for the night. 
driveaway2008,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine "
mscha,missin' the boo 
mike_webster_au,@markhardy1974 Me too  #itm
basiabeans,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS 
calihonda2001,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too "
djwayneski,@msdrama hey missed ya at the meeting  sup mama
Ceejison,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!"
ItsBrigittaYo,why is it always the fat ones?! 
MissLaura317,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*"
RU_it_girl,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad 
viviana09,wednesday my b-day! don't know what 2 do!! 
disneyfan4eva,Poor cameron (the hills) 
RoseMaryK,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache "
perrohunter,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike"
Dogbook,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435
natalieantipas,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL....."
timdonnelly,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money "
homeworld,"@stark YOU don't follow me, either  and i work for you!"
willy_chaz,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.
LeakySpoon, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
cityrat59,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... "
kenandise,Behind on my classes for work 
annette414,watching &quot;House&quot; 
blackheartbunny,@kpreyes Remember my bum leg? Strikes back this time its serious 
GetGary,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls "
Dogbook,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014
SimoniNicole,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?
wireandroses,@Henkuyinepu it's overrated 
jess_higley,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times 
missannabanana,laying in bed with no voice.. 
Zella17,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy
polarna10,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.
megan_rice,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. "
ashleyirvin,@salancaster  hope your ok.
eyezup,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love
Jonas_Dreamgirl,@HibaNick yeah aw but i know i wudnt stand a chance 
BreannaBonana,ugh. cant sleep. its 1:30am. 
becklyn13,Hanging in Crooners. Wanna sing. Can't. Sucks. 
sonyolmos,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! 
JenBah,Is pissed off that there's no ASBA's for a radio station. 
viviana09,wednesday my b-day n don't know what 2 do!  
BustaBusta,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. 
MadameCrow,I am in pain. My back and sides hurt. Not to mention crying is made of fail. 
weefranniev,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... "
ikimmyy,@allyheman but.. but.. but.. I'm not a big fan on camilla belle 
yolie81,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine "
spacks,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done 
bgoers,I'm so cold 
MissPassion,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow 
aaronrothe,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff
ilikeoreos,Hoping the tummy rumbles go away soon 
wiccabuffy,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. "
HiKeri,almost bedtime 
bnr0201,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart
R_Boucher,Agh...snow!!! 
josiahmcdermott,i miss kenny powers 
VanessaSingline,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget "
varunkumar,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. "
JenniOnTheBlock,@JonathanRKnight I guess that's a no then. 
darkninja757,sadly is going to bed. 
mikecogh,@ozesteph1992 Shame to hear this Stephan 
KandiConnection,@mrsaintnick hey! i'm leavin in the morning... 
joechummer,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left "
kellireneez,laid around too much today... now my head hurts 
treehugger25,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.
chatpataa,my nokia 1110 died..  
ThisStoutjunt,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! 
sew_cute,Going to sleep. Hoping tomorrow is a better day. 
Twokids1,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too
AKyarnie,@onemoreproject that is lame 
luimoral85,I don't understand... I really don't 
ceironous,HEROES just isn't doing it for me this season... 
brandonmcb,Living not downtown sure isn't much fun.  
mannyrique,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!
styletrain,Man Work is Hard 
kscud,"getting sick  time for some hot tea, studying, and then sleeeep"
kirstenj0y,Getting eyebrows waxed. More pain 
marculus,No phantasy star yesterday  going to work...
andrewofthediaz,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well 
dbmendel,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too 
erks,is alone downstairs...working 
ringleaderkanon,I feel bad for doing it 
babibabs,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. "
ace587,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far 
ktribb80,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. 
OliviaFox,Thanks for bursting my bubble 
IluvJoelMadden,Going to school soon... can't find anything to wear!! gosh it's so hard 
easyausguy,@marieclr I was serious  LOL
Hollywood_Trey,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history
EcoTravelTV,Crazy wind today = no birding  http://ff.im/1XTTi
AshaleaMay,currently at work.. 
AthenaA42,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. 
Missy__,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!
BrettFair,i don't see the big deal with this website 
mydwynter,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail
jhenkens,@ColinDeMar Far too out of the way for rail.  any other tips?
sarah_katie,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.
amanda5280,"Today I realized I am too good at hiding things, even I can't find it "
Shabbybebe,"Staying at a friends house...house sitting, neighbors are SO loud-having a party "
fatkat309,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!
blackheartbunny,Check out my mug  http://www.erika-obscura.blogspot.com
szrhnds602,Borders closed at 10 
schammy,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days 
mariotani,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! 
Jaderade14,is watching the hill . . .and its making me sad 
LeeseEllen,So many channels.... yet so so boring... lazy day again  may have to find a hobby
FNFKayCee,@supersport I miss my buddy  ill be in NY on the 25th
CaddyStage,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people
ha_nobita,Opps.. As I said.. I still got one day remain and now problem come 
tchviolin,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb"
DreamActivist23,@HillyDoP  oH NO
msbutt3rfly14,spencer is not a good guy. 
